X,Y
23.7673974,37.9457398
23.767484,37.9463631
23.7681345,37.9459256
23.7689598,37.9467191
23.7687455,37.9468575
23.7680307,37.9473193
23.7674954,37.9476112
23.7674577,37.9476318
23.7674011,37.9476592
23.7677828,37.9481773
23.7679389,37.9484092
23.76809,37.9486943
23.7681478,37.9488321
23.7682033,37.9489707
23.7682542,37.9491102
23.7683527,37.9491339
23.7684479,37.9491357
23.768545,37.9491277
23.7688811,37.9490986
23.7690828,37.9490811
23.7699808,37.9490165
23.7701297,37.9489974
23.7704572,37.9489209
23.7705706,37.9488688
23.7706438,37.9488017
23.7706591,37.9487778
23.7706795,37.9487387
23.7706886,37.9486863
23.7707305,37.9486869
23.7707695,37.948667
23.7710555,37.9489991
23.7711946,37.9491621
23.7715875,37.9489642
23.771648,37.9489273
23.771776,37.9489392
23.7718957,37.9488998
23.7720132,37.9488088
23.7721241,37.9487316
23.7722373,37.9486767
23.7726007,37.9486201
23.7732752,37.9485497
23.7733557,37.9485515
23.7733759,37.9485707
23.7730666,37.9486315
23.7729743,37.9487067
23.7729651,37.9488353
23.772922,37.9489857
23.7728204,37.9490682
23.7726789,37.949141
23.772525,37.9492502
23.7725066,37.9493109
23.7723866,37.9494031
23.7723527,37.9494807
23.7722389,37.9495334
23.7720823,37.949566
23.7720779,37.9496277
23.7721454,37.9497221
23.7719973,37.9499046
23.7711668,37.9497843
23.7704755,37.9498732
23.7702208,37.950031
23.7699115,37.950427
23.769886,37.9507914
23.7699806,37.9511214
23.7700497,37.9515948
23.7702499,37.9522834
23.770272,37.952999
23.7702551,37.9530427
23.7700951,37.9530415
23.7700104,37.9530573
23.7699751,37.9530828
23.7699423,37.9531354
23.7697462,37.9533287
23.7696744,37.9533799
23.7696262,37.9534095
23.7695725,37.9534391
23.7694733,37.9534751
23.7694169,37.9535174
23.7694116,37.9535618
23.7693794,37.9536464
23.7693767,37.9537479
23.7693767,37.9538684
23.7693579,37.954008
23.7692748,37.9540736
23.7692372,37.9541645
23.7692238,37.9542639
23.7691863,37.9543189
23.769189,37.9543676
23.7692185,37.9544331
23.7691997,37.9544585
23.7691434,37.954505
23.7691058,37.954541
23.7690336,37.9546214
23.7690011,37.9546521
23.7680303,37.9538851
23.7678332,37.9541297
23.7678049,37.9541759
23.7677958,37.9541908
23.7675853,37.9545172
23.7671868,37.955133
23.7669935,37.9554099
23.7667833,37.9557432
23.7666968,37.9558901
23.7665326,37.956169
23.7662786,37.956503
23.7662246,37.9565961
23.7661393,37.9567149
23.7660431,37.9567941
23.7659415,37.9568502
23.7658327,37.9569093
23.7656985,37.9569644
23.7654992,37.9570376
23.7654049,37.9570761
23.7652629,37.9571399
23.7648542,37.957325
23.7643698,37.9575931
23.7642107,37.9576688
23.7638747,37.9578397
23.76368,37.9579259
23.7630949,37.9582183
23.762978,37.9582742
23.7626581,37.958091
23.7621936,37.9585893
23.7619342,37.9588352
23.7617955,37.9589565
23.7616491,37.9590687
23.7611351,37.9595563
23.7610795,37.9596218
23.7609818,37.9597816
23.7607429,37.9602269
23.7599579,37.9605691
23.7597492,37.9606632
23.7591258,37.9609164
23.7587811,37.9610563
23.7584293,37.9611992
23.7583749,37.9612213
23.7579755,37.9613835
23.757576,37.9615288
23.7571247,37.9616896
23.7570714,37.961778
23.7570371,37.9618998
23.7570285,37.9620283
23.7570455,37.9621452
23.7567499,37.9622219
23.7563468,37.962336
23.7562106,37.9624736
23.7558498,37.9628745
23.755503,37.9632514
23.7551696,37.9636139
23.7550456,37.9635527
23.754617,37.9636958
23.7538698,37.9639452
23.7529652,37.9641888
23.7528815,37.9641932
23.7522254,37.9642283
23.7515451,37.9650587
23.7508739,37.9657759
23.7502364,37.9664588
23.7495267,37.9672758
23.7495674,37.967303
23.7495985,37.9673283
23.7496143,37.9673448
23.749616,37.9673724
23.7496143,37.9673927
23.7496085,37.9674106
23.749602,37.9674198
23.7495839,37.967439
23.749565,37.9674515
23.7495469,37.9674614
23.7495261,37.9674679
23.7495062,37.9674728
23.7494645,37.9674802
23.7494385,37.9674835
23.7491976,37.9675145
23.7487353,37.967574
23.7486202,37.9675888
23.7485258,37.9676009
23.7478275,37.9676753
23.7473627,37.9677248
23.7472349,37.9677384
23.7471465,37.9677478
23.7470069,37.9677627
23.7468557,37.9677772
23.7467763,37.9677849
23.746592,37.9678026
