X,Y
23.7565183,37.9973834
23.7559099,37.9971779
23.7551965,37.996937
23.7551107,37.9969776
23.7550454,37.9970772
23.7548317,37.9969408
23.7546189,37.9967956
23.7539195,37.9963697
23.7536745,37.995742
23.753173,37.9958423
23.7525701,37.9959126
23.7524777,37.9959259
23.7520857,37.9960046
23.7516373,37.9961107
23.7516027,37.996069
23.7514256,37.9961224
23.7513831,37.9961348
23.7513211,37.9960516
23.7512634,37.9959734
23.7512044,37.9959005
23.7511336,37.9958177
23.7510851,37.9957679
23.7510409,37.9957205
23.7510117,37.9956905
23.7510145,37.995641
23.7507869,37.9949782
23.7506067,37.9944572
23.7504289,37.9939433
23.7504505,37.9938666
23.7503525,37.9938328
23.750212,37.9937642
23.7500552,37.9936629
23.74993,37.9935921
23.749876,37.9935385
23.749829,37.9935511
23.7497751,37.9935428
23.7495595,37.9934271
23.7493664,37.993324
23.7490601,37.9931579
23.7488319,37.9930219
23.7487837,37.9929785
23.7487523,37.9929362
23.7486568,37.992909
23.7485733,37.9929052
23.7484764,37.9928562
23.7480046,37.9925929
23.7474871,37.9923438
23.7470873,37.9925408
23.7470548,37.9924965
23.7469309,37.9920042
23.7468017,37.9914747
23.7466518,37.9909163
23.7464747,37.9904091
23.7463383,37.9899667
23.7461627,37.9894129
23.7458433,37.989469
23.7457322,37.9894869
23.7455515,37.9895202
23.7455228,37.9894178
23.7455023,37.9893432
23.7455467,37.9893335
23.7456631,37.9893057
23.7456069,37.9892614
23.7454873,37.9891953
23.745579,37.9892167
23.7456606,37.9892112
23.7457582,37.9891927
23.7458509,37.9891689
23.7461517,37.9888052
23.7462467,37.9886798
23.7465973,37.9882175
23.7469017,37.9878379
23.7469064,37.9878321
23.7467414,37.9877498
23.7465272,37.9871816
23.7463437,37.9867167
23.7462286,37.9864188
23.7461607,37.9862151
23.7461288,37.9861196
23.7459958,37.9857517
23.7460365,37.9857156
23.746118,37.9856366
23.7460535,37.9855982
23.7451356,37.9851284
23.7444674,37.9847839
23.7441265,37.9846049
23.7431078,37.9840807
23.7425516,37.9837909
23.7421115,37.9835621
23.7419762,37.9834917
23.7412948,37.9828613
23.7410438,37.9825894
23.7409183,37.9824277
23.7407157,37.9821128
23.7406558,37.9820249
23.740545,37.9818342
23.7404867,37.9816546
23.7404816,37.9815956
23.7404662,37.9814351
23.7404826,37.981284
23.740524,37.9811722
23.7405853,37.9810548
23.7409383,37.9805538
23.7405331,37.9803431
23.7401095,37.9801106
23.7397101,37.9798984
23.7393161,37.9796802
23.739596,37.9793144
23.7391722,37.9790903
23.7386784,37.9788308
23.7382408,37.9786009
23.7377407,37.9783407
23.7371931,37.9780504
23.7366817,37.9777736
23.7361199,37.9774804
23.7357359,37.97728
23.7357832,37.9772258
23.7356739,37.977153
23.7356006,37.9771041
23.735569,37.977083
23.7354812,37.9771829
23.7348319,37.9768597
23.7348068,37.9768472
23.734435,37.9766622
23.7344602,37.9766098
23.7344673,37.9765445
23.7344157,37.9763324
23.7343947,37.9762898
23.734351,37.9761805
23.7342585,37.9761266
23.7342048,37.976078
23.7341564,37.9760117
23.7341089,37.975934
23.7340438,37.9757955
23.7340236,37.9757564
23.733998,37.9756885
