X,Y
23.7579842,37.9626349
23.7573706,37.9627658
23.7571792,37.9630383
23.7568359,37.9634172
23.7558498,37.9628745
23.755503,37.9632514
23.7551696,37.9636139
23.7550456,37.9635527
23.754617,37.9636958
23.7538698,37.9639452
23.7529652,37.9641888
23.7528815,37.9641932
23.7522254,37.9642283
23.7515451,37.9650587
23.7508739,37.9657759
23.7502364,37.9664588
23.7495267,37.9672758
23.7495674,37.967303
23.7495985,37.9673283
23.7496143,37.9673448
23.749616,37.9673724
23.7496143,37.9673927
23.7496085,37.9674106
23.749602,37.9674198
23.7495839,37.967439
23.749565,37.9674515
23.7495469,37.9674614
23.7495261,37.9674679
23.7495062,37.9674728
23.7494645,37.9674802
23.7494385,37.9674835
23.7491976,37.9675145
23.7487353,37.967574
23.7486202,37.9675888
23.7485258,37.9676009
23.7478275,37.9676753
23.7473627,37.9677248
23.7472349,37.9677384
23.7471465,37.9677478
23.7470069,37.9677627
23.7468557,37.9677772
23.7467763,37.9677849
23.746592,37.9678026
23.7462445,37.9678361
23.745763,37.9678824
23.7452627,37.9679305
23.745022,37.9679537
23.7447828,37.9679776
23.7445553,37.9679986
23.7444437,37.9680093
23.7443795,37.9680155
23.7443089,37.9680357
23.7442342,37.9680624
23.7441648,37.9680952
23.7440986,37.9681298
23.7440485,37.9681632
23.7439977,37.968199
23.7438979,37.9682746
23.7438537,37.9683147
23.7437576,37.9684018
23.7436315,37.9685317
23.7434905,37.968677
23.7433453,37.9688265
23.7430833,37.9690964
23.7428025,37.9693857
23.7426538,37.9695389
23.7425984,37.9695959
23.7419377,37.9698825
23.74164,37.9700218
23.7412858,37.9698061
23.7410302,37.969994
23.7407044,37.970238
23.7405732,37.970352
23.7405508,37.9703379
23.7404989,37.9703043
23.7404344,37.9702642
23.7403469,37.9702134
23.7402582,37.9701648
23.7400777,37.970075
23.7399831,37.9701123
23.7397649,37.9701869
23.7396728,37.9702726
23.7397988,37.9710035
23.7393655,37.9710413
23.7389886,37.971067
23.738852,37.9710939
23.73873,37.9711845
23.7385685,37.971304
23.7383445,37.9714451
23.7382126,37.9715194
23.7380825,37.9715947
23.7378906,37.9716909
23.7377129,37.9717699
23.7375967,37.9718205
23.7376629,37.9719264
23.737681,37.9719576
23.7377056,37.9720285
23.7376323,37.9722328
23.7374939,37.972302
23.7372862,37.9722631
23.7371391,37.9722891
23.7369768,37.9724624
23.7367974,37.9724924
23.736832,37.9727173
23.7366702,37.972804
23.7367236,37.9728742
23.7366048,37.9729539
23.7365573,37.9730381
23.7365724,37.973144
23.7365546,37.9733838
23.7365766,37.9735587
23.7366741,37.9737659
23.7363212,37.9738272
23.7360308,37.9738739
23.7360018,37.9738136
23.7355821,37.9738611
23.7356025,37.9739671
23.7355479,37.9739867
23.735402,37.9740045
23.7353108,37.9740151
23.7352777,37.9740435
23.7352187,37.9740895
23.7352277,37.9741303
23.7352663,37.974326
23.7353686,37.9748021
23.735406,37.9748968
23.7352935,37.9749101
23.73525,37.9749152
23.7351824,37.9749232
23.7343084,37.9750265
23.7342461,37.9750336
23.7340756,37.975054
23.7340189,37.9751765
23.734009,37.9751994
23.734001,37.9752226
23.7339921,37.975251
23.7339832,37.9752873
23.7339806,37.975304
23.7339769,37.9753354
23.7339752,37.975357
23.7339735,37.9753797
23.7339721,37.9754029
23.7339708,37.9754409
23.7339715,37.9754779
23.7339743,37.9755271
23.733998,37.9756885
